waktu,id,username,teks,tweet_casefolding,tweet_cleansing,tweet_token,tweet_stopword,tweet_normalization,tweet_stemming,clean_data,polarity_score,polarity
########,1.57e+18,kusumaelisa,"Semua bangku di transportasi umum itu untuk pioritas. untuk ibu hamil, lansia, orang sakit, difabel. Cuma kadang banyak orang yg ga empati apalagi jam pulang kerja banyak yg pura pura tidur malah ada yg ngaku lagi hamil","semua bangku di transportasi umum itu untuk pioritas. untuk ibu hamil, lansia, orang sakit, difabel. cuma kadang banyak orang yg ga empati apalagi jam pulang kerja banyak yg pura pura tidur malah ada yg ngaku lagi hamil",semua bangku di transportasi umum itu untuk pioritas untuk ibu hamil lansia orang sakit difabel cuma kadang banyak orang yg ga empati apalagi jam pulang kerja banyak yg pura pura tidur malah ada yg ngaku lagi hamil,"['semua', 'bangku', 'di', 'transportasi', 'umum', 'itu', 'untuk', 'pioritas', 'untuk', 'ibu', 'hamil', 'lansia', 'orang', 'sakit', 'difabel', 'cuma', 'kadang', 'banyak', 'orang', 'yg', 'ga', 'empati', 'apalagi', 'jam', 'pulang', 'kerja', 'banyak', 'yg', 'pura', 'pura', 'tidur', 'malah', 'ada', 'yg', 'ngaku', 'lagi', 'hamil']","['bangku', 'transportasi', 'pioritas', 'hamil', 'lansia', 'sakit', 'difabel', 'kadang', 'ga', 'empati', 'jam', 'pulang', 'pura', 'pura', 'tidur', 'ngaku', 'hamil']","['bangku', 'transportasi', 'prioritas', 'hamil', 'lansia', 'sakit', 'difabel', 'kadang', 'tidak', 'empati', 'jam', 'pulang', 'pura', 'pura', 'tidur', 'mengaku', 'hamil']","['bangku', 'transportasi', 'prioritas', 'hamil', 'lansia', 'sakit', 'difabel', 'kadang', 'tidak', 'empati', 'jam', 'pulang', 'pura', 'pura', 'tidur', 'aku', 'hamil']",bangku transportasi prioritas hamil lansia sakit difabel kadang tidak empati jam pulang pura pura tidur aku hamil,-9,0
########,1.57e+18,Pemerintah Kabupaten Bekasi,"Tenaga Harian Lepas (THL) Pemda, yang belum terdaftar di BPJS Tenaga Kerja. Akan diberikan juga bansos bagi 1.038 ojek pangkalan, nelayan, yatim piatu korban Covid-19, lansia terlantar, difabel, penyelenggaraan jasa layanan keagamaan","tenaga harian lepas (thl) pemda, yang belum terdaftar di bpjs tenaga kerja. akan diberikan juga bansos bagi 1.038 ojek pangkalan, nelayan, yatim piatu korban covid-19, lansia terlantar, difabel, penyelenggaraan jasa layanan keagamaan",tenaga harian lepas thl pemda yang belum terdaftar di bpjs tenaga kerja akan diberikan juga bansos bagi ojek pangkalan nelayan yatim piatu korban covid lansia terlantar difabel penyelenggaraan jasa layanan keagamaan,"['tenaga', 'harian', 'lepas', 'thl', 'pemda', 'yang', 'belum', 'terdaftar', 'di', 'bpjs', 'tenaga', 'kerja', 'akan', 'diberikan', 'juga', 'bansos', 'bagi', 'ojek', 'pangkalan', 'nelayan', 'yatim', 'piatu', 'korban', 'covid', 'lansia', 'terlantar', 'difabel', 'penyelenggaraan', 'jasa', 'layanan', 'keagamaan']","['tenaga', 'harian', 'lepas', 'thl', 'pemda', 'terdaftar', 'bpjs', 'tenaga', 'bansos', 'ojek', 'pangkalan', 'nelayan', 'yatim', 'piatu', 'korban', 'covid', 'lansia', 'terlantar', 'difabel', 'penyelenggaraan', 'jasa', 'layanan', 'keagamaan']","['tenaga', 'harian', 'lepas', 'tanggal', 'pemda', 'terdaftar', 'bpjs', 'tenaga', 'bansos', 'ojek', 'pangkalan', 'nelayan', 'yatim', 'piatu', 'korban', 'covid', 'lansia', 'terlantar', 'difabel', 'penyelenggaraan', 'jasa', 'layanan', 'keagamaan']","['tenaga', 'hari', 'lepas', 'tanggal', 'pemda', 'daftar', 'bpjs', 'tenaga', 'bansos', 'ojek', 'pangkal', 'nelayan', 'yatim', 'piatu', 'korban', 'covid', 'lansia', 'lantar', 'difabel', 'selenggara', 'jasa', 'layan', 'agama']",tenaga hari lepas tanggal pemda daftar bpjs tenaga bansos ojek pangkal nelayan yatim piatu korban covid lansia lantar difabel selenggara jasa layan agama,7,1
########,1.57e+18,Cerita Parapuan,BERITA TERPOPULER LADY BOSS Mengenal Aplikasi TeDi untuk Difabel hingga Apa itu Counter Offer di Dunia Kerja,berita terpopuler lady boss mengenal aplikasi tedi untuk difabel hingga apa itu counter offer di dunia kerja,berita terpopuler lady boss mengenal aplikasi tedi untuk difabel hingga apa itu counter offer di dunia kerja,"['berita', 'terpopuler', 'lady', 'boss', 'mengenal', 'aplikasi', 'tedi', 'untuk', 'difabel', 'hingga', 'apa', 'itu', 'counter', 'offer', 'di', 'dunia', 'kerja']","['berita', 'terpopuler', 'lady', 'boss', 'mengenal', 'aplikasi', 'tedi', 'difabel', 'counter', 'offer', 'dunia']","['berita', 'terpopuler', 'lady', 'boss', 'mengenal', 'aplikasi', 'tedi', 'difabel', 'counter', 'menawarkan', 'dunia']","['berita', 'populer', 'lady', 'boss', 'kenal', 'aplikasi', 'tedi', 'difabel', 'counter', 'tawar', 'dunia']",berita populer lady boss kenal aplikasi tedi difabel counter tawar dunia,5,1
########,1.57e+18,milancool,@bp2mi_ri bp2mi kerjasama dgn negara mana saja?saya difabel tuna rungu berminat utk kerja di LN..,@bp2mi_ri bp2mi kerjasama dgn negara mana saja?saya difabel tuna rungu berminat utk kerja di ln..,ri bp mi kerjasama dgn negara mana sajasaya difabel tuna rungu berminat utk kerja di ln,"['ri', 'bp', 'mi', 'kerjasama', 'dgn', 'negara', 'mana', 'sajasaya', 'difabel', 'tuna', 'rungu', 'berminat', 'utk', 'kerja', 'di', 'ln']","['kerjasama', 'negara', 'sajasaya', 'difabel', 'tuna', 'rungu', 'berminat', 'ln']","['kerja sama', 'negara', 'saja saya', 'difabel', 'tuna', 'rungu', 'berminat', 'ln']","['kerja sama', 'negara', 'saja saya', 'difabel', 'tuna', 'rungu', 'minat', 'ln']",kerja sama negara saja saya difabel tuna rungu minat ln,8,1
########,1.57e+18,Dwi Prasetyo,"Regsosek merupakan pendataan kondisi sosial ekonomi penduduk dari demografi, perumahan, data keadaan disabilitas, kepemilikan aset, hingga informasi geospasial. Tunggu kedatangan Petugas BPS ke rumah Anda.","regsosek merupakan pendataan kondisi sosial ekonomi penduduk dari demografi, perumahan, data keadaan disabilitas, kepemilikan aset, hingga informasi geospasial. tunggu kedatangan petugas bps ke rumah anda.",regsosek merupakan pendataan kondisi sosial ekonomi penduduk dari demografi perumahan data keadaan disabilitas kepemilikan aset hingga informasi geospasial tunggu kedatangan petugas bps ke rumah anda,"['regsosek', 'merupakan', 'pendataan', 'kondisi', 'sosial', 'ekonomi', 'penduduk', 'dari', 'demografi', 'perumahan', 'data', 'keadaan', 'disabilitas', 'kepemilikan', 'aset', 'hingga', 'informasi', 'geospasial', 'tunggu', 'kedatangan', 'petugas', 'bps', 'ke', 'rumah', 'anda']","['regsosek', 'pendataan', 'kondisi', 'sosial', 'ekonomi', 'penduduk', 'demografi', 'perumahan', 'data', 'disabilitas', 'kepemilikan', 'aset', 'informasi', 'geospasial', 'tunggu', 'kedatangan', 'petugas', 'bps', 'rumah']","['regsosek', 'pendataan', 'kondisi', 'sosial', 'ekonomi', 'penduduk', 'demografi', 'perumahan', 'data', 'disabilitas', 'kepemilikan', 'aset', 'informasi', 'geospasial', 'tunggu', 'kedatangan', 'petugas', 'bps', 'rumah']","['regsosek', 'data', 'kondisi', 'sosial', 'ekonomi', 'duduk', 'demografi', 'rumah', 'data', 'disabilitas', 'milik', 'aset', 'informasi', 'geospasial', 'tunggu', 'datang', 'tugas', 'bps', 'rumah']",regsosek data kondisi sosial ekonomi duduk demografi rumah data disabilitas milik aset informasi geospasial tunggu datang tugas bps rumah,1,1
########,1.57e+18,Keila Anjana,nah gais dengan Telkom Indonesia bersama Yayasan Pendidikan Telkom berharap penguasaan teknologi informasi dapat membuat penyandang disabilitas kian berdaya,nah gais dengan telkom indonesia bersama yayasan pendidikan telkom berharap penguasaan teknologi informasi dapat membuat penyandang disabilitas kian berdaya,nah gais dengan telkom indonesia bersama yayasan pendidikan telkom berharap penguasaan teknologi informasi dapat membuat penyandang disabilitas kian berdaya,"['nah', 'gais', 'dengan', 'telkom', 'indonesia', 'bersama', 'yayasan', 'pendidikan', 'telkom', 'berharap', 'penguasaan', 'teknologi', 'informasi', 'dapat', 'membuat', 'penyandang', 'disabilitas', 'kian', 'berdaya']","['gais', 'telkom', 'indonesia', 'yayasan', 'pendidikan', 'telkom', 'berharap', 'penguasaan', 'teknologi', 'informasi', 'penyandang', 'disabilitas', 'kian', 'berdaya']","['gais', 'telkom', 'indonesia', 'yayasan', 'pendidikan', 'telkom', 'berharap', 'penguasaan', 'teknologi', 'informasi', 'penyandang', 'disabilitas', 'kian', 'berdaya']","['gais', 'telkom', 'indonesia', 'yayasan', 'didik', 'telkom', 'harap', 'kuasa', 'teknologi', 'informasi', 'sandang', 'disabilitas', 'kian', 'daya']",gais telkom indonesia yayasan didik telkom harap kuasa teknologi informasi sandang disabilitas kian daya,6,1
########,1.57e+18,Keila Anjana,Telkom Indonesia bersama Yayasan Pendidikan Telkom menginisiasi pelatihan keterampilan untuk penyandang disabilitas. Pelatihan di bidang Teknologi Informasi dan Komunikasi (TIK),telkom indonesia bersama yayasan pendidikan telkom menginisiasi pelatihan keterampilan untuk penyandang disabilitas. pelatihan di bidang teknologi informasi dan komunikasi (tik),telkom indonesia bersama yayasan pendidikan telkom menginisiasi pelatihan keterampilan untuk penyandang disabilitas pelatihan di bidang teknologi informasi dan komunikasi tik,"['telkom', 'indonesia', 'bersama', 'yayasan', 'pendidikan', 'telkom', 'menginisiasi', 'pelatihan', 'keterampilan', 'untuk', 'penyandang', 'disabilitas', 'pelatihan', 'di', 'bidang', 'teknologi', 'informasi', 'dan', 'komunikasi', 'tik']","['telkom', 'indonesia', 'yayasan', 'pendidikan', 'telkom', 'menginisiasi', 'pelatihan', 'keterampilan', 'penyandang', 'disabilitas', 'pelatihan', 'bidang', 'teknologi', 'informasi', 'komunikasi']","['telkom', 'indonesia', 'yayasan', 'pendidikan', 'telkom', 'menginisiasi', 'pelatihan', 'keterampilan', 'penyandang', 'disabilitas', 'pelatihan', 'bidang', 'teknologi', 'informasi', 'komunikasi']","['telkom', 'indonesia', 'yayasan', 'didik', 'telkom', 'inisiasi', 'latih', 'terampil', 'sandang', 'disabilitas', 'latih', 'bidang', 'teknologi', 'informasi', 'komunikasi']",telkom indonesia yayasan didik telkom inisiasi latih terampil sandang disabilitas latih bidang teknologi informasi komunikasi,6,1
########,1.57e+18,Sisda Amalia,"mantap banget dahh, SMK Telkom menggelar pelatihan TIK atau teknologi informasi dan komunikasi bagi 300 penyandang disabilitas yang tersebar di 11 kota se-Indonesia","mantap banget dahh, smk telkom menggelar pelatihan tik atau teknologi informasi dan komunikasi bagi 300 penyandang disabilitas yang tersebar di 11 kota se-indonesia",mantap banget dahh smk telkom menggelar pelatihan tik atau teknologi informasi dan komunikasi bagi penyandang disabilitas yang tersebar di kota seindonesia,"['mantap', 'banget', 'dahh', 'smk', 'telkom', 'menggelar', 'pelatihan', 'tik', 'atau', 'teknologi', 'informasi', 'dan', 'komunikasi', 'bagi', 'penyandang', 'disabilitas', 'yang', 'tersebar', 'di', 'kota', 'seindonesia']","['mantap', 'banget', 'smk', 'telkom', 'menggelar', 'pelatihan', 'teknologi', 'informasi', 'komunikasi', 'penyandang', 'disabilitas', 'tersebar', 'kota', 'seindonesia']","['mantap', 'banget', 'smk', 'telkom', 'menggelar', 'pelatihan', 'teknologi', 'informasi', 'komunikasi', 'penyandang', 'disabilitas', 'tersebar', 'kota', 'seindonesia']","['mantap', 'banget', 'smk', 'telkom', 'gelar', 'latih', 'teknologi', 'informasi', 'komunikasi', 'sandang', 'disabilitas', 'sebar', 'kota', 'indonesia']",mantap banget smk telkom gelar latih teknologi informasi komunikasi sandang disabilitas sebar kota indonesia,8,1
########,1.57e+18,Annisa Amatila,"TErbaik banget nih, Penyandang disabilitas dibekali pelatihan teknologi informasi dan komunikasi loh dari Telkom hal ini untuk mengembangkan dirinya. Mereka diharapkan bisa kian mandiri.","terbaik banget nih, penyandang disabilitas dibekali pelatihan teknologi informasi dan komunikasi loh dari telkom hal ini untuk mengembangkan dirinya. mereka diharapkan bisa kian mandiri.",terbaik banget nih penyandang disabilitas dibekali pelatihan teknologi informasi dan komunikasi loh dari telkom hal ini untuk mengembangkan dirinya mereka diharapkan bisa kian mandiri,"['terbaik', 'banget', 'nih', 'penyandang', 'disabilitas', 'dibekali', 'pelatihan', 'teknologi', 'informasi', 'dan', 'komunikasi', 'loh', 'dari', 'telkom', 'hal', 'ini', 'untuk', 'mengembangkan', 'dirinya', 'mereka', 'diharapkan', 'bisa', 'kian', 'mandiri']","['terbaik', 'banget', 'penyandang', 'disabilitas', 'dibekali', 'pelatihan', 'teknologi', 'informasi', 'komunikasi', 'telkom', 'mengembangkan', 'diharapkan', 'kian', 'mandiri']","['terbaik', 'banget', 'penyandang', 'disabilitas', 'dibekali', 'pelatihan', 'teknologi', 'informasi', 'komunikasi', 'telkom', 'mengembangkan', 'diharapkan', 'kian', 'mandiri']","['baik', 'banget', 'sandang', 'disabilitas', 'bekal', 'latih', 'teknologi', 'informasi', 'komunikasi', 'telkom', 'kembang', 'harap', 'kian', 'mandiri']",baik banget sandang disabilitas bekal latih teknologi informasi komunikasi telkom kembang harap kian mandiri,10,1
########,1.57e+18,Sesel Marani,"nah gais,Telkom Indonesia melalui Yayasan Pendidikan Telkom berharap penguasaan teknologi informasi dapat membuat penyandang disabilitas kian berdaya.","nah gais,telkom indonesia melalui yayasan pendidikan telkom berharap penguasaan teknologi informasi dapat membuat penyandang disabilitas kian berdaya.",nah gaistelkom indonesia melalui yayasan pendidikan telkom berharap penguasaan teknologi informasi dapat membuat penyandang disabilitas kian berdaya,"['nah', 'gaistelkom', 'indonesia', 'melalui', 'yayasan', 'pendidikan', 'telkom', 'berharap', 'penguasaan', 'teknologi', 'informasi', 'dapat', 'membuat', 'penyandang', 'disabilitas', 'kian', 'berdaya']","['gaistelkom', 'indonesia', 'yayasan', 'pendidikan', 'telkom', 'berharap', 'penguasaan', 'teknologi', 'informasi', 'penyandang', 'disabilitas', 'kian', 'berdaya']","['teman telkom', 'indonesia', 'yayasan', 'pendidikan', 'telkom', 'berharap', 'penguasaan', 'teknologi', 'informasi', 'penyandang', 'disabilitas', 'kian', 'berdaya']","['teman telkom', 'indonesia', 'yayasan', 'didik', 'telkom', 'harap', 'kuasa', 'teknologi', 'informasi', 'sandang', 'disabilitas', 'kian', 'daya']",teman telkom indonesia yayasan didik telkom harap kuasa teknologi informasi sandang disabilitas kian daya,6,1
